created_at,model,author,downloads,likes,tags
2026-09-25T08:20:07Z,poorclaude/co222,poorclaude,0,0,region:us
2026-09-25T08:20:07Z,aviv887/co218,aviv887,0,0,region:us
2026-09-25T08:20:10Z,check123432/co181,check123432,0,0,region:us
2026-09-25T08:20:11Z,lightseek0123/co234,lightseek0123,0,0,region:us
2026-09-25T08:20:17Z,khtsly/Luau-Coder-1.0-1.4B-Base-Stage1,khtsly,0,1,transformers; safetensors; kimi_linear; text-generation; kimi-k3; luau; experimental-checkpoint; custom_code; en; endpoints_compatible; region:us
2026-09-25T08:20:24Z,Maksdev325/co186,Maksdev325,0,0,region:us
2026-09-25T08:20:24Z,BreadWallNut/co196,BreadWallNut,0,0,region:us
2026-09-25T08:20:25Z,check123432/co202,check123432,0,0,region:us
2026-09-25T08:20:27Z,check123432/co204,check123432,0,0,region:us
2026-09-25T08:20:35Z,wckwan/Alfworld-Qwen3-8B-Adaptive-Midpoint-s1000,wckwan,0,0,safetensors; region:us
2026-09-25T08:20:36Z,BreadWallNut/co207,BreadWallNut,0,0,region:us
2026-09-25T08:20:37Z,check123432/co213,check123432,0,0,region:us
2026-09-25T08:20:40Z,poorclaude/co228,poorclaude,0,0,region:us
2026-09-25T08:20:42Z,poorclaude/co221,poorclaude,0,0,region:us
2026-09-25T08:20:49Z,lightseek0123/co232,lightseek0123,0,0,region:us
2026-09-25T08:20:49Z,aviv887/co233,aviv887,0,0,region:us
2026-09-25T08:21:00Z,jensjepsen/danish-lm-400m-sft-worlds-v29-mid,jensjepsen,0,0,safetensors; region:us
2026-09-25T08:21:01Z,aviv887/co235,aviv887,0,0,region:us
2026-09-25T08:21:01Z,aviv887/co227,aviv887,0,0,region:us
2026-09-25T08:21:02Z,lightseek0123/co224,lightseek0123,0,0,region:us
2026-09-25T08:21:03Z,poorclaude/co242,poorclaude,0,0,region:us
2026-09-25T08:21:06Z,3MPER0RR/phi-4-mini-LoRA-adapter-3MPER0RR-abliterated-Q8_0-GGUF,3MPER0RR,0,0,peft; gguf; lora; transformers; base_model:3MPER0RR/phi-4-mini-LoRA-adapter-3MPER0RR-abliterated; base_model:adapter:3MPER0RR/phi-4-mini-LoRA-adapter-3MPER0RR-abliterated; license:mit; region:us
2026-09-25T08:21:13Z,lightseek0123/co251,lightseek0123,0,0,region:us
2026-09-25T08:21:14Z,aviv887/co243,aviv887,0,0,region:us
2026-09-25T08:21:16Z,aviv887/co252,aviv887,0,0,region:us
2026-09-25T08:21:18Z,rhine-river/co136,rhine-river,0,0,region:us
2026-09-25T08:21:25Z,aviv887/co253,aviv887,0,0,region:us
2026-09-25T08:21:26Z,poorclaude/co238,poorclaude,0,0,region:us
2026-09-25T08:21:33Z,aviv887/co241,aviv887,0,0,region:us
2026-09-25T08:21:34Z,frenchchips/co139,frenchchips,0,0,region:us
2026-09-25T08:21:37Z,creativedev1234/co141,creativedev1234,0,0,region:us
2026-09-25T08:21:38Z,creativedev1234/co147,creativedev1234,0,0,region:us
2026-09-25T08:22:00Z,Hagwell/laya,Hagwell,0,0,transformers; safetensors; laya; system-one; calibrated-decisions; rlcd; classification; routing; scoring; guardrails; moderation; reinforcement-learning; commercial-use; text-classification; license…
2026-09-25T08:22:01Z,RunningHubAI/rh-portrait-retouching-lora,RunningHubAI,0,0,comfyui; lora; image-text-to-image; region:us
2026-09-25T08:22:11Z,Viswa555/groot-n15-pnpcountertocab-ckpt9000,Viswa555,0,0,safetensors; gr00t_n1_5; region:us
2026-09-25T08:22:34Z,imtk/OpenThai-SystemOne-ONNX,imtk,0,0,onnxruntime; onnx; thai; qwen3.5; base_model:iapp/OpenThai-SystemOne; base_model:quantized:iapp/OpenThai-SystemOne; license:apache-2.0; region:us
2026-09-25T08:23:41Z,Viswa555/groot-n15-pnpcountertocab-ckpt2500,Viswa555,0,0,safetensors; gr00t_n1_5; region:us
2026-09-25T08:25:33Z,liuyufan1234/MyAwesomeModel-TestRepo,liuyufan1234,265,0,transformers; pytorch; bert; feature-extraction; license:mit; endpoints_compatible; region:us
2026-09-25T08:25:33Z,Ar4ikov/VibeVoice-ASR-DFlash2-Drafter,Ar4ikov,0,0,vibevoice.c; safetensors; qwen3; speculative-decoding; dflash; drafter; speech-recognition; vibevoice; automatic-speech-recognition; base_model:Ar4ikov/VibeVoice-ASR-AWQ-W4A16-ASYM; base_model:finetu…
2026-09-25T08:25:45Z,heathermartinez/homework-generation95,heathermartinez,0,0,safetensors; blip; pytorch; generation; license:mit; region:us
